timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source	snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note
2026-04-06T02:58:14+00:00	before_sequential_30	no_view_blockfile_n30	default	blockfile	262726492	249374936	173544348	69044480	10318316	2285696	32508	3128	3100	9961734144	15348							18	0			v2
2026-04-06T02:58:18+00:00	after_start_1_of_30	no_view_blockfile_n30	default	blockfile	262726492	249317320	172967792	69564644	10323216	2286760	32508	7816	94708	10486022144	12609299							19	1	2.987833		v2
2026-04-06T02:58:22+00:00	after_start_2_of_30	no_view_blockfile_n30	default	blockfile	262726492	249291412	172411120	70083972	10337364	2292232	32508	12532	199236	11010310144	25203313							20	2	3.108749		v2
2026-04-06T02:58:25+00:00	after_start_3_of_30	no_view_blockfile_n30	default	blockfile	262726492	249186580	171776340	70603228	10352804	2296956	32508	17212	301004	11534598144	37797390							21	3	2.827207		v2
2026-04-06T02:58:28+00:00	after_start_4_of_30	no_view_blockfile_n30	default	blockfile	262726492	249100580	171159512	71122600	10367144	2302504	32508	21944	404248	12058886144	50391530							22	4	3.018172		v2
2026-04-06T02:58:31+00:00	after_start_5_of_30	no_view_blockfile_n30	default	blockfile	262726492	248967188	170495832	71641564	10382288	2307924	32508	28188	507692	12583174144	62985733							23	5	2.927526		v2
2026-04-06T02:58:35+00:00	after_start_6_of_30	no_view_blockfile_n30	default	blockfile	262726492	248916960	169914340	72161252	10397660	2313480	32508	32860	612932	13107462144	75579999							24	6	3.046411		v2
2026-04-06T02:58:38+00:00	after_start_7_of_30	no_view_blockfile_n30	default	blockfile	262726492	248810688	169277692	72680208	10413888	2319028	32508	40636	715752	13631750144	88174328							25	7	2.881258		v2
2026-04-06T02:58:41+00:00	after_start_8_of_30	no_view_blockfile_n30	default	blockfile	262726492	248748812	168684552	73199888	10429376	2324584	32508	46876	820304	14156038144	100768720							26	8	3.015705		v2
2026-04-06T02:58:45+00:00	after_start_9_of_30	no_view_blockfile_n30	default	blockfile	262726492	248662704	168067748	73719224	10446212	2330020	32508	53156	922368	14680326144	113363175							27	9	2.787974		v2
2026-04-06T02:58:48+00:00	after_start_10_of_30	no_view_blockfile_n30	default	blockfile	262726492	248511988	167386780	74238528	10462512	2334904	32508	60928	1025764	15204614144	125957698							28	10	2.998537		v2
2026-04-06T02:58:51+00:00	after_start_11_of_30	no_view_blockfile_n30	default	blockfile	262726492	248372332	166716660	74757496	10478976	2340472	32508	67152	1129188	15728902144	138552285							29	11	2.977189		v2
2026-04-06T02:58:55+00:00	after_start_12_of_30	no_view_blockfile_n30	default	blockfile	262726492	248228916	166042020	75277184	10494300	2346036	32508	71884	1234684	16253190144	151146936							30	12	3.060163		v2
2026-04-06T02:58:58+00:00	after_start_13_of_30	no_view_blockfile_n30	default	blockfile	262726492	248112948	165395124	75796504	10509488	2351384	32508	78112	1338540	16777478144	163741651							31	13	2.928407		v2
2026-04-06T02:59:02+00:00	after_start_14_of_30	no_view_blockfile_n30	default	blockfile	262726492	247984324	164734880	76315456	10527004	2356940	32508	82800	1440244	17301766144	176336430							32	14	3.028545		v2
2026-04-06T02:59:05+00:00	after_start_15_of_30	no_view_blockfile_n30	default	blockfile	262726492	247853072	164072068	76835132	10544944	2361688	32508	87532	1543892	17826054144	188931273							33	15	2.954148		v2
2026-04-06T02:59:08+00:00	after_start_16_of_30	no_view_blockfile_n30	default	blockfile	262726492	247752608	163440672	77354100	10562928	2366584	32508	93772	1648112	18350342144	201526180							34	16	2.780903		v2
2026-04-06T02:59:11+00:00	after_start_17_of_30	no_view_blockfile_n30	default	blockfile	262726492	247608688	162764784	77873420	10580676	2372160	32508	98440	1751644	18874630144	214121151							35	17	2.989351		v2
2026-04-06T02:59:15+00:00	after_start_18_of_30	no_view_blockfile_n30	default	blockfile	262726492	247465860	162089536	78393120	10598400	2377716	32508	103180	1855132	19398918144	226716186							36	18	3.001771		v2
2026-04-06T02:59:18+00:00	after_start_19_of_30	no_view_blockfile_n30	default	blockfile	262726492	247350380	161443320	78912416	10614620	2382076	32508	109420	1954844	19923206144	239311285							37	19	2.996487		v2
2026-04-06T02:59:22+00:00	after_start_20_of_30	no_view_blockfile_n30	default	blockfile	262726492	247253688	160815036	79431392	10632480	2387636	32508	114116	2058604	20447494144	251906448							38	20	2.947884		v2
2026-04-06T02:59:25+00:00	after_start_21_of_30	no_view_blockfile_n30	default	blockfile	262726492	247138516	160167904	79950708	10650084	2393200	32508	118800	2164088	20971782144	264501675							39	21	2.988927		v2
