timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source	snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note
2026-04-06T02:51:19+00:00	before_sequential_10	no_view_devmapper_n10	default	devmapper	262726492	250058736	174336728	68939544	10305612	2285396	32508	3132	3128	1179648	15348	dm:containerd-pool	0.1707	0.6273	2291200	5262336	dmsetup	18	0			v2
2026-04-06T02:51:20+00:00	after_start_1_of_10	no_view_devmapper_n10	default	devmapper	262726492	249916444	174192284	68948016	10306888	2286160	32508	7820	92476	1179648	12609299	dm:containerd-pool	0.1708	0.6274	2292736	5263360	dmsetup	19	1	0.724634		v2
2026-04-06T02:51:22+00:00	after_start_2_of_10	no_view_devmapper_n10	default	devmapper	262726492	249660752	173928832	68956788	10308552	2292348	32508	14080	195228	1179648	25203313	dm:containerd-pool	0.1712	0.6284	2298368	5271040	dmsetup	21	2	0.769164		v2
2026-04-06T02:51:23+00:00	after_start_3_of_10	no_view_devmapper_n10	default	devmapper	262726492	249477888	173737920	68965924	10310408	2298536	32508	18768	295148	1179648	37797390	dm:containerd-pool	0.1720	0.6301	2309120	5285376	dmsetup	21	3	0.624238		v2
2026-04-06T02:51:24+00:00	after_start_4_of_10	no_view_devmapper_n10	default	devmapper	262726492	249293908	173545096	68975676	10312788	2304724	32508	23504	400136	1179648	50391530	dm:containerd-pool	0.1721	0.6302	2310144	5286400	dmsetup	23	4	0.628293		v2
2026-04-06T02:51:25+00:00	after_start_5_of_10	no_view_devmapper_n10	default	devmapper	262726492	249104344	173347940	68984312	10314976	2310912	32508	28180	502756	1179648	62985733	dm:containerd-pool	0.1725	0.6312	2315264	5294592	dmsetup	25	5	0.686596		v2
2026-04-06T02:51:26+00:00	after_start_6_of_10	no_view_devmapper_n10	default	devmapper	262726492	248943440	173178884	68993460	10317792	2317128	32508	34452	607584	1179648	75579999	dm:containerd-pool	0.1729	0.6321	2320384	5302784	dmsetup	24	6	0.713363		v2
2026-04-06T02:51:27+00:00	after_start_7_of_10	no_view_devmapper_n10	default	devmapper	262726492	248755940	172983116	69002600	10319680	2323332	32508	39152	709832	1179648	88174328	dm:containerd-pool	0.1733	0.6331	2325504	5310976	dmsetup	26	7	0.625029		v2
2026-04-06T02:51:29+00:00	after_start_8_of_10	no_view_devmapper_n10	default	devmapper	262726492	248572316	172791592	69011484	10322080	2329540	32508	43860	821804	1179648	100768720	dm:containerd-pool	0.1736	0.6341	2330624	5319168	dmsetup	28	8	0.652391		v2
2026-04-06T02:51:30+00:00	after_start_9_of_10	no_view_devmapper_n10	default	devmapper	262726492	248441460	172651552	69021696	10324344	2335748	32508	48536	917720	1179648	113363175	dm:containerd-pool	0.1740	0.6351	2335744	5327360	dmsetup	27	9	0.688429		v2
2026-04-06T02:51:31+00:00	after_start_10_of_10	no_view_devmapper_n10	default	devmapper	262726492	248314904	172516512	69031096	10326056	2341952	32508	53228	1024724	1179648	125957698	dm:containerd-pool	0.1745	0.6363	2341888	5337600	dmsetup	29	10	0.678355		v2
2026-04-06T02:51:35+00:00	after_cleanup_sequential_10	no_view_devmapper_n10	default	devmapper	262726492	249229028	173494416	68952140	10312736	2285412	32508	3128	3132	1179648	15348	dm:containerd-pool	0.1734	0.6339	2327552	5317632	dmsetup	18	0		11.930104	v2
2026-04-06T02:51:41+00:00	before_sequential_20	no_view_devmapper_n20	default	devmapper	262726492	249324336	173595344	68946428	10309424	2285408	32508	3100	3132	1179648	15348	dm:containerd-pool	0.1707	0.6273	2291200	5262336	dmsetup	18	0			v2
2026-04-06T02:51:42+00:00	after_start_1_of_20	no_view_devmapper_n20	default	devmapper	262726492	249316976	173586476	68954272	10310576	2286172	32508	7792	92556	1179648	12609299	dm:containerd-pool	0.1708	0.6274	2292736	5263360	dmsetup	20	1	0.646566		v2
2026-04-06T02:51:43+00:00	after_start_2_of_20	no_view_devmapper_n20	default	devmapper	262726492	249179156	173440788	68963168	10312224	2292360	32508	12496	194212	1179648	25203313	dm:containerd-pool	0.1713	0.6284	2298880	5271040	dmsetup	20	2	0.748765		v2
2026-04-06T02:51:44+00:00	after_start_3_of_20	no_view_devmapper_n20	default	devmapper	262726492	249017936	173271608	68972084	10313868	2298564	32508	20372	305628	1179648	37797390	dm:containerd-pool	0.1718	0.6293	2305536	5278720	dmsetup	22	3	0.654918		v2
2026-04-06T02:51:46+00:00	after_start_4_of_20	no_view_devmapper_n20	default	devmapper	262726492	248895868	173141408	68981256	10315316	2304736	32508	28200	403044	1179648	50391530	dm:containerd-pool	0.1722	0.6302	2310656	5286400	dmsetup	24	4	0.680739		v2
2026-04-06T02:51:47+00:00	after_start_5_of_20	no_view_devmapper_n20	default	devmapper	262726492	248768476	173005828	68990416	10317544	2310924	32508	34416	506432	1179648	62985733	dm:containerd-pool	0.1725	0.6312	2315776	5294592	dmsetup	23	5	0.731114		v2
2026-04-06T02:51:48+00:00	after_start_6_of_20	no_view_devmapper_n20	default	devmapper	262726492	248671912	172900628	69000116	10319244	2317128	32508	40648	618220	1179648	75579999	dm:containerd-pool	0.1729	0.6321	2320896	5302784	dmsetup	25	6	0.758538		v2
2026-04-06T02:51:49+00:00	after_start_7_of_20	no_view_devmapper_n20	default	devmapper	262726492	248495388	172715928	69009280	10320592	2323332	32508	46920	715496	1179648	88174328	dm:containerd-pool	0.1736	0.6339	2329600	5317632	dmsetup	25	7	0.674874		v2
2026-04-06T02:51:51+00:00	after_start_8_of_20	no_view_devmapper_n20	default	devmapper	262726492	248346484	172558128	69019128	10322604	2329536	32508	51624	819768	1179648	100768720	dm:containerd-pool	0.1737	0.6341	2331136	5319168	dmsetup	27	8	0.647156		v2
2026-04-06T02:51:52+00:00	after_start_9_of_20	no_view_devmapper_n20	default	devmapper	262726492	248244668	172447948	69028464	10324452	2335740	32508	57824	925496	1179648	113363175	dm:containerd-pool	0.1743	0.6359	2339840	5334016	dmsetup	29	9	0.653308		v2
2026-04-06T02:51:53+00:00	after_start_10_of_20	no_view_devmapper_n20	default	devmapper	262726492	248110376	172305636	69037416	10326512	2341956	32508	62544	1027448	1179648	125957698	dm:containerd-pool	0.1745	0.6363	2342400	5337600	dmsetup	28	10	0.668948		v2
2026-04-06T02:51:54+00:00	after_start_11_of_20	no_view_devmapper_n20	default	devmapper	262726492	248008652	172194740	69047552	10329156	2348160	32508	68784	1139480	1179648	138552285	dm:containerd-pool	0.1750	0.6375	2349056	5347840	dmsetup	30	11	0.667960		v2
2026-04-06T02:51:55+00:00	after_start_12_of_20	no_view_devmapper_n20	default	devmapper	262726492	247834024	172011560	69057080	10331448	2354376	32508	73512	1238648	1179648	151146936	dm:containerd-pool	0.1755	0.6387	2355200	5358080	dmsetup	32	12	0.658443		v2
2026-04-06T02:51:57+00:00	after_start_13_of_20	no_view_devmapper_n20	default	devmapper	262726492	247717960	171885564	69068056	10334420	2360580	32508	79704	1340440	1179648	163741651	dm:containerd-pool	0.1762	0.6407	2364928	5374976	dmsetup	31	13	0.678977		v2
2026-04-06T02:51:58+00:00	after_start_14_of_20	no_view_devmapper_n20	default	devmapper	262726492	247617812	171776796	69077568	10336292	2366796	32508	84432	1442996	1179648	176336430	dm:containerd-pool	0.1764	0.6412	2367488	5378560	dmsetup	33	14	0.706203		v2
