timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																		
2026-04-16T22:17:54+00:00	before_sequential_200	seq200_noview	default	devmapper	262726528	253007624	181139076	67132156	6361748	2456212	12012	2726552	4162080	63104	62708	51464	3132	3132	92133	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0			v2																																		
2026-04-16T22:18:04+00:00	after_start_10_of_200	seq200_noview	default	devmapper	262726528	251384004	179464980	67209256	6375272	2501932	83892	3732732	4161900	70976	69884	57552	56376	1028812	103524	44542	932924										118112911360	125972148	dm:containerd-pool	0.1119	0.1698	961544192	2333081600	dmsetup
25	10	0.817587		v2																																		
2026-04-16T22:18:13+00:00	after_start_20_of_200	seq200_noview	default	devmapper	262726528	249863528	177876508	67296104	6396584	2555216	155772	4825068	4161792	78368	77200	57480	114244	2062040	103444	81719	1856056										118112911360	251950678	dm:containerd-pool	0.1216	0.1709	1044381696	2348810240	dmsetup
35	20	0.862069		v2																																		
2026-04-16T22:18:24+00:00	after_start_30_of_200	seq200_noview	default	devmapper	262726528	248403204	176223144	67507632	6419796	2608584	227652	5967472	4161612	88752	86036	65160	170544	3101416	108920	119031	2779536										118112911360	377935608	dm:containerd-pool	0.1318	0.1720	1132462080	2364538880	dmsetup
45	30	0.984693		v2																																		
2026-04-16T22:18:34+00:00	after_start_40_of_200	seq200_noview	default	devmapper	262726528	247309804	175058216	67597844	6441944	2661868	299532	7041816	4161564	95680	93148	65156	229984	4135468	110500	152206	3700068										118112911360	503926938	dm:containerd-pool	0.1417	0.1732	1217396736	2380267520	dmsetup
55	40	0.974967		v2																																		
2026-04-16T22:18:46+00:00	after_start_50_of_200	seq200_noview	default	devmapper	262726528	246079544	173758560	67685672	6462152	2715260	371412	8150348	4161496	102336	100176	68228	289328	5178008	117420	187322	4621016										118112911360	629924668	dm:containerd-pool	0.1511	0.1743	1297612800	2395996160	dmsetup
65	50	0.891906		v2																																		
2026-04-16T22:18:58+00:00	after_start_60_of_200	seq200_noview	default	devmapper	262726528	244992624	172602664	67773184	6484172	2768792	443292	9233744	4161476	109344	108252	66668	348764	6216164	117292	221511	5544272										118112911360	755928798	dm:containerd-pool	0.1612	0.1755	1384644608	2411724800	dmsetup
75	60	1.030493		v2																																		
