timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																		
2026-04-16T22:09:42+00:00	before_sequential_200	seq200_view	default	devmapper	262726528	253396584	181642940	67032376	6323168	2456152	12008	2340880	4147028	57232	61756	33688	3092	3132	81250	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	916979712	2317352960	dmsetup
15	0			v2																																		
2026-04-16T22:09:51+00:00	after_start_10_of_200	seq200_view	default	devmapper	262726528	251974124	180161612	67046860	6341800	2501608	12652	3385972	4146812	65152	69136	53528	111420	1026868	104877	58638	934576										118112911360	126021468	dm:containerd-pool	0.1094	0.1698	940048384	2333081600	dmsetup
26	10	0.805083		v2																																		
2026-04-16T22:10:01+00:00	after_start_20_of_200	seq200_view	default	devmapper	262726528	250535240	178654444	67062704	6362396	2554756	13292	4481908	4146772	72720	76716	53476	221316	2060872	103496	104362	1856220										118112911360	252049318	dm:containerd-pool	0.1190	0.1709	1021837312	2348810240	dmsetup
36	20	0.779076		v2																																		
2026-04-16T22:10:11+00:00	after_start_30_of_200	seq200_view	default	devmapper	262726528	249360260	177410888	67078836	6384396	2608024	13920	5581560	4146664	80208	83872	55012	329572	3091256	106860	150695	2775608										118112911360	378083568	dm:containerd-pool	0.1287	0.1720	1105723392	2364538880	dmsetup
46	30	0.856041		v2																																		
2026-04-16T22:10:21+00:00	after_start_40_of_200	seq200_view	default	devmapper	262726528	248175052	176156728	67095128	6406588	2661240	14560	6679368	4146588	87520	91116	56496	447300	4118296	109308	193556	3696708										118112911360	504124218	dm:containerd-pool	0.1392	0.1732	1195900928	2380267520	dmsetup
56	40	0.925531		v2																																		
2026-04-16T22:10:32+00:00	after_start_50_of_200	seq200_view	default	devmapper	262726528	246939396	174852220	67111812	6429320	2714504	15212	7777624	4146488	94816	98568	61052	560236	5153732	111256	235206	4620132										118112911360	630171268	dm:containerd-pool	0.1486	0.1743	1276641280	2395996160	dmsetup
66	50	0.904956		v2																																		
2026-04-16T22:10:44+00:00	after_start_60_of_200	seq200_view	default	devmapper	262726528	245601052	173442680	67130224	6451524	2767684	15840	9218676	4146476	101856	106596	59512	665360	6193048	114840	277311	5543952										118112911360	756224718	dm:containerd-pool	0.1588	0.1755	1364197376	2411724800	dmsetup
76	60	0.979860		v2																																		
