timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source	thin_data_used_blocks	thin_data_total_blocks	thin_meta_used_blocks	thin_meta_total_blocks
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																						
2026-04-16T23:29:58+00:00	before_sequential_200	seq200_noview	default	devmapper	262726528	252203400	180072592	67380564	6400820	2457340	12036	3402208	4174800	66320	76464	57400	3112	3112	90315	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
15	0			v2																																						
2026-04-16T23:30:09+00:00	after_start_10_of_200	seq200_noview	default	devmapper	262726528	250386952	178199400	67463844	6412936	2502880	83832	4459108	4174720	74032	85116	65080	53264	1018924	100218	44005	930576										118112911360	125972708	dm:containerd-pool	0.1119	0.1698	120193024	dmsetup	1834	1638400	4450	2621440	
25	10	0.861091		v2																																						
2026-04-16T23:30:19+00:00	after_start_20_of_200	seq200_noview	default	devmapper	262726528	248788424	176531276	67552048	6432864	2556212	155712	5851764	4174668	81376	100944	66604	109632	2053152	103798	81098	1853704										118112911360	251951798	dm:containerd-pool	0.1221	0.1709	131072000	dmsetup	2000	1638400	4480	2621440	
35	20	0.871490		v2																																						
2026-04-16T23:30:29+00:00	after_start_30_of_200	seq200_noview	default	devmapper	262726528	247133808	174811648	67635720	6452656	2609548	227592	7292288	4174592	88336	118432	66604	162836	3087260	107103	117202	2774348										118112911360	377937288	dm:containerd-pool	0.1318	0.1720	141557760	dmsetup	2160	1638400	4510	2621440	
45	30	0.914748		v2																																						
2026-04-16T23:30:40+00:00	after_start_40_of_200	seq200_noview	default	devmapper	262726528	245920580	173528352	67724416	6473732	2662888	299560	8383748	4174652	95376	125656	68140	216040	4122280	112607	151368	3695852										118112911360	503929178	dm:containerd-pool	0.1413	0.1732	151715840	dmsetup	2315	1638400	4540	2621440	
