timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source	thin_data_used_blocks	thin_data_total_blocks	thin_meta_used_blocks	thin_meta_total_blocks
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																						
2026-04-16T23:21:35+00:00	before_sequential_200	seq200_view	default	devmapper	262726528	251617796	179590804	67287988	6366120	2457240	12036	3916376	4163716	60816	95132	47812	3108	3132	84316	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
15	0			v2																																						
2026-04-16T23:21:45+00:00	after_start_10_of_200	seq200_view	default	devmapper	262726528	250237256	178149240	67304492	6385644	2502700	12684	4966724	4163724	68608	103620	57028	120900	1020800	102343	58982	934448										118112911360	126022028	dm:containerd-pool	0.1095	0.1698	117571584	dmsetup	1794	1638400	4450	2621440	
26	10	0.808426		v2																																						
2026-04-16T23:21:55+00:00	after_start_20_of_200	seq200_view	default	devmapper	262726528	248844624	176691848	67316388	6406080	2556068	13308	6054112	4163696	76368	109968	55444	240268	2049860	102387	104693	1855784										118112911360	252050438	dm:containerd-pool	0.1190	0.1709	127729664	dmsetup	1949	1638400	4480	2621440	
36	20	0.869028		v2																																						
2026-04-16T23:22:06+00:00	after_start_30_of_200	seq200_view	default	devmapper	262726528	247547208	175323472	67334784	6428160	2609548	13948	7159172	4163644	83392	117632	56884	351636	3081496	108403	150573	2777452										118112911360	378085248	dm:containerd-pool	0.1295	0.1720	139001856	dmsetup	2121	1638400	4510	2621440	
46	30	0.904800		v2																																						
2026-04-16T23:22:17+00:00	after_start_40_of_200	seq200_view	default	devmapper	262726528	246271760	173982416	67347704	6450008	2662828	14600	8352916	4163584	90496	124904	55312	469416	4113596	111173	192635	3699132										118112911360	504126458	dm:containerd-pool	0.1389	0.1732	149094400	dmsetup	2275	1638400	4540	2621440	
56	40	0.877143		v2																																						
2026-04-16T23:22:28+00:00	after_start_50_of_200	seq200_view	default	devmapper	262726528	245078640	172719828	67364636	6471060	2716052	15228	9468564	4163568	97920	132760	58384	580784	5152644	115214	233870	4620084										118112911360	630174068	dm:containerd-pool	0.1486	0.1743	159580160	dmsetup	2435	1638400	4570	2621440	
66	50	1.051163		v2																																						
2026-04-16T23:22:40+00:00	after_start_60_of_200	seq200_view	default	devmapper	262726528	244704316	172274584	67382784	6494312	2769392	15868	9853120	4163448	105072	118100	61456	692284	6186012	117217	275228	5543340										118112911360	756228078	dm:containerd-pool	0.1595	0.1755	171245568	dmsetup	2613	1638400	4600	2621440	
76	60	1.040647		v2																																						
2026-04-16T23:22:52+00:00	after_start_70_of_200	seq200_view	default	devmapper	262726528	243726032	171229936	67396628	6515380	2822568	16508	10949432	4163372	111776	125232	64528	805272	7211816	120650	317065	6461790										118112911360	882288488	dm:containerd-pool	0.1682	0.1766	180617216	dmsetup	2756	1638400	4630	2621440	
86	70	1.190602		v2																																						
2026-04-16T23:23:05+00:00	after_start_80_of_200	seq200_view	default	devmapper	262726528	242560676	169994036	67414800	6537500	2875736	17152	12093416	4163372	119200	134316	64492	918280	8244176	123286	358971	7383164										118112911360	1008355298	dm:containerd-pool	0.1785	0.1778	191627264	dmsetup	2924	1638400	4660	2621440	
96	80	0.978787		v2																																						
2026-04-16T23:23:18+00:00	after_start_90_of_200	seq200_view	default	devmapper	262726528	241428704	168794996	67429408	6560536	2928948	17792	13199032	4163400	126256	141752	66028	1031296	9271852	131662	400596	8303856										118112911360	1134428508	dm:containerd-pool	0.1882	0.1789	202113024	dmsetup	3084	1638400	4690	2621440	
106	90	0.939077		v2																																						
2026-04-16T23:23:32+00:00	after_start_100_of_200	seq200_view	default	devmapper	262726528	240398668	167693412	67448204	6582880	2982160	18440	14292380	4163400	133552	149208	67452	1139600	10309088	129065	443168	9225324										118112911360	1260508121	dm:containerd-pool	0.1985	0.1801	213188608	dmsetup	3253	1638400	4720	2621440	
116	100	1.052029		v2																																						
2026-04-16T23:23:46+00:00	after_start_110_of_200	seq200_view	default	devmapper	262726528	239297052	166519384	67467796	6605120	3035488	19080	15407540	4163416	141760	156000	78204	1252592	11343316	146558	484152	10148358										118112911360	1386594216	dm:containerd-pool	0.2083	0.1813	223608832	dmsetup	3412	1638400	4752	2621440	
126	110	1.057677		v2																																						
2026-04-16T23:24:00+00:00	after_start_120_of_200	seq200_view	default	devmapper	262726528	237956796	165112912	67481380	6629228	3088792	19708	16509428	4163540	150176	163292	81220	1365580	12380824	145919	526490	11071540										118112911360	1512686811	dm:containerd-pool	0.2181	0.1824	234160128	dmsetup	3573	1638400	4782	2621440	
136	120	1.034193		v2																																						
2026-04-16T23:24:14+00:00	after_start_130_of_200	seq200_view	default	devmapper	262726528	236759344	163842012	67501480	6653704	3142056	20348	17603968	4164168	158976	170660	76520	1476972	13424592	144683	568990	11992450										118112911360	1638785906	dm:containerd-pool	0.2278	0.1836	244645888	dmsetup	3733	1638400	4812	2621440	
146	130	0.967666		v2																																						
2026-04-16T23:24:29+00:00	after_start_140_of_200	seq200_view	default	devmapper	262726528	235622412	162635740	67515936	6681372	3195288	20988	18710880	4166436	167536	177932	79592	1593140	14455116	149434	611496	12915772										118112911360	1764891501	dm:containerd-pool	0.2376	0.1847	255131648	dmsetup	3893	1638400	4842	2621440	
156	140	1.169762		v2																																						
2026-04-16T23:24:44+00:00	after_start_150_of_200	seq200_view	default	devmapper	262726528	234421296	161365488	67529928	6709108	3248444	21628	19814268	4168920	175936	185312	84200	1704576	15496892	149994	653320	13839388										118112911360	1891003596	dm:containerd-pool	0.2479	0.1859	266141696	dmsetup	4061	1638400	4872	2621440	
166	150	1.159196		v2																																						
2026-04-16T23:24:59+00:00	after_start_160_of_200	seq200_view	default	devmapper	262726528	233373852	160241672	67551316	6738940	3301664	22268	20916356	4171488	184384	192684	87240	1815992	16520664	156206	695289	14758332										118112911360	2017122191	dm:containerd-pool	0.2577	0.1870	276692992	dmsetup	4222	1638400	4902	2621440	
176	160	1.153145		v2																																						
2026-04-16T23:25:15+00:00	after_start_170_of_200	seq200_view	default	devmapper	262726528	232207404	159003728	67566632	6769216	3354936	22912	22012024	4174984	192768	199904	88728	1922764	17555396	158850	737180	15679834										118112911360	2143247286	dm:containerd-pool	0.2675	0.1881	287178752	dmsetup	4382	1638400	4932	2621440	
186	170	1.118694		v2																																						
2026-04-16T23:25:31+00:00	after_start_180_of_200	seq200_view	default	devmapper	262726528	231027520	157747496	67586220	6801760	3408240	23560	23119364	4179260	200560	206972	99480	2037404	18574992	169783	779467	16597276										118112911360	2269378881	dm:containerd-pool	0.2779	0.1893	298385408	dmsetup	4553	1638400	4962	2621440	
196	180	1.134938		v2																																						
2026-04-16T23:25:47+00:00	after_start_190_of_200	seq200_view	default	devmapper	262726528	229866384	156515352	67600948	6832596	3461528	24188	24217500	4183076	208880	214504	101012	2148780	19611060	168031	821945	17516984										118112911360	2395516976	dm:containerd-pool	0.2877	0.1904	308871168	dmsetup	4713	1638400	4992	2621440	
206	190	1.110236		v2																																						
2026-04-16T23:26:04+00:00	after_start_200_of_200	seq200_view	default	devmapper	262726528	228778384	155349328	67622396	6864948	3514744	24840	25330300	4186984	217856	222068	102548	2260188	20646792	172619	864627	18439916										118112911360	2521661571	dm:containerd-pool	0.2972	0.1916	319160320	dmsetup	4870	1638400	5022	2621440	
216	200	1.142707		v2																																						
2026-04-16T23:26:14+00:00	after_start_200_of_200_settle_5s	seq200_view	default	devmapper	262726528	228916780	155472760	67627220	6868704	3522728	24840	25420424	4189172	218992	222076	104084	2260152	20651072	174739	861599	18439916										118112911360	2521661571	dm:containerd-pool	0.3021	0.1916	324337664	dmsetup	4949	1638400	5022	2621440	
216	200		268.688473	v2																																						
2026-04-16T23:26:34+00:00	after_start_200_of_200_settle_20s	seq200_view	default	devmapper	262726528	229256020	155808456	67630124	6871536	3522728	24840	25352172	4189384	220928	220464	99388	2260176	20651068	169115	856915	18439836										118112911360	2521661571	dm:containerd-pool	0.3021	0.1916	324337664	dmsetup	4949	1638400	5022	2621440	
216	200		268.688473	v2																																						
2026-04-16T23:27:20+00:00	after_start_200_of_200_settle_60s	seq200_view	default	devmapper	262726528	229317900	155872260	67628020	6875284	3522728	24840	25404256	4189592	225024	221748	97808	2263220	20651080	166487	854883	18439828										118112911360	2521661571	dm:containerd-pool	0.3021	0.1916	324337664	dmsetup	4949	1638400	5022	2621440	
216	200		268.688473	v2																																						
2026-04-16T23:28:48+00:00	after_cleanup_sequential_200	seq200_view	default	devmapper	262726528	251159048	179013544	67394436	6415336	2457636	12044	3390692	4175256	66752	76800	57400	3108	3132	90314	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
16	0		268.688473	v2																																						
2026-04-16T23:28:54+00:00	after_cleanup_sequential_200_settle_5s	seq200_view	default	devmapper	262726528	251432400	179287416	67394128	6413380	2457636	12040	3387556	4175144	66640	76272	57400	3100	3132	90315	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
16	0			v2																																						
2026-04-16T23:29:09+00:00	after_cleanup_sequential_200_settle_20s	seq200_view	default	devmapper	262726528	251871520	179729420	67391480	6412868	2457636	12040	3389384	4175056	66656	76180	57400	3132	3132	90315	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
16	0			v2																																						
2026-04-16T23:29:50+00:00	after_cleanup_sequential_200_settle_60s	seq200_view	default	devmapper	262726528	252198540	180055396	67392572	6411788	2457636	12040	3398040	4174880	66320	76364	57400	3096	3100	90315	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	dmsetup	1749	1638400	4420	2621440	
16	0			v2																																						
