timestamp_iso	tag	bench_label	ns	snapshotter	mem_total_kb	mem_avail_kb	mem_free_kb	mem_cached_kb	mem_slab_kb	mem_buffers_kb	mem_shmem_kb	mem_anonpages_kb	mem_sreclaimable_kb	mem_kernelstack_kb	mem_pagetables_kb	containerd_main_rss_kb	shim_urunc_rss_sum_kb	qemu_rss_sum_kb	containerd_main_pss_kb	shim_urunc_pss_sum_kb	qemu_pss_sum_kb	cgv2_containerd_current_bytes	cgv2_shim_current_bytes_sum	cgv2_qemu_current_bytes_sum	cgv2_runtime_current_bytes_sum	cgv2_runtime_anon_bytes_sum	cgv2_runtime_file_bytes_sum	cgv2_runtime_slab_bytes_sum	cgv2_runtime_shmem_bytes_sum	system_pss_all_kb	snapshotter_root_bytes	run_containerd_bytes	thin_pool_id	thin_data_pct	thin_meta_pct	thin_data_used_bytes	thin_meta_used_bytes	thin_metrics_source	thin_data_used_blocks	thin_data_total_blocks	thin_meta_used_blocks	thin_meta_total_blocks
snapshot_count	running_containers	container_start_sec	batch_elapsed_sec	resource_granularity_note																																						
2026-04-16T23:48:36+00:00	before_sequential_200	seq200_noview	default	devmapper	262726528	252199676	179635008	67805412	6404664	2458892	12044	3289952	4182340	61008	75792	48824	3092	3112	83183	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	18104320	dmsetup	1749	1638400	4420	2621440
15	0			v2																																						
2026-04-16T23:48:46+00:00	after_start_10_of_200	seq200_noview	default	devmapper	262726528	250641212	178019756	67888780	6422380	2504508	83840	4314180	4182280	68720	82600	64184	60976	1021760	102986	44378	932400										118112911360	125973448	dm:containerd-pool	0.1119	0.1698	120193024	18227200	dmsetup	1834	1638400	4450	2621440
25	10	0.859245		v2																																						
2026-04-16T23:48:56+00:00	after_start_20_of_200	seq200_noview	default	devmapper	262726528	249346396	176655288	67976752	6443180	2557840	155720	5405588	4182296	76544	90140	61048	115692	2057836	101698	80925	1855932										118112911360	251953278	dm:containerd-pool	0.1217	0.1709	130678784	18350080	dmsetup	1994	1638400	4480	2621440
35	20	0.880865		v2																																						
2026-04-16T23:49:07+00:00	after_start_30_of_200	seq200_noview	default	devmapper	262726528	247988508	175232276	68060648	6462832	2611124	227684	6498092	4182340	84000	96936	64120	173544	3090104	108722	117859	2777204										118112911360	377939508	dm:containerd-pool	0.1315	0.1720	141230080	18472960	dmsetup	2155	1638400	4510	2621440
45	30	1.030468		v2																																						
2026-04-16T23:49:18+00:00	after_start_40_of_200	seq200_noview	default	devmapper	262726528	246848984	174022200	68149816	6483936	2664544	299480	7592360	4182256	91344	104340	64120	233016	4119288	111453	152780	3696312										118112911360	503932138	dm:containerd-pool	0.1413	0.1732	151715840	18595840	dmsetup	2315	1638400	4540	2621440
55	40	1.020236		v2																																						
2026-04-16T23:49:30+00:00	after_start_50_of_200	seq200_noview	default	devmapper	262726528	245540920	172643908	68238144	6505492	2717932	371360	8675968	4182220	98448	111364	70248	297128	5155028	114598	187488	4615160										118112911360	629931168	dm:containerd-pool	0.1511	0.1743	162267136	18718720	dmsetup	2476	1638400	4570	2621440
65	50	1.068575		v2																																						
2026-04-16T23:49:42+00:00	after_start_60_of_200	seq200_noview	default	devmapper	262726528	244363244	171401440	68321732	6527176	2771320	443240	9761964	4182188	105840	118368	70232	351916	6187396	117214	222236	5534524										118112911360	755936598	dm:containerd-pool	0.1613	0.1755	173146112	18841600	dmsetup	2642	1638400	4600	2621440
75	60	1.019969		v2																																						
2026-04-16T23:49:55+00:00	after_start_70_of_200	seq200_noview	default	devmapper	262726528	243169772	170138008	68410152	6548424	2824600	515204	10857312	4182192	112608	125428	74840	406672	7221380	122566	257678	6455814										118112911360	881948428	dm:containerd-pool	0.1709	0.1766	183500800	18964480	dmsetup	2800	1638400	4630	2621440
85	70	0.978228		v2																																						
2026-04-16T23:50:08+00:00	after_start_80_of_200	seq200_noview	default	devmapper	262726528	242029024	168926968	68498692	6570024	2877932	587000	11947348	4182532	119472	132572	74840	459968	8252072	123642	291990	7378984										118112911360	1007966658	dm:containerd-pool	0.1807	0.1778	193986560	19087360	dmsetup	2960	1638400	4660	2621440
95	80	1.082911		v2																																						
2026-04-16T23:50:21+00:00	after_start_90_of_200	seq200_noview	default	devmapper	262726528	240843704	167670904	68587476	6592904	2931212	658964	13039676	4182944	126416	139564	77912	510044	9291380	129678	327846	8302224										118112911360	1133991288	dm:containerd-pool	0.1904	0.1789	204472320	19210240	dmsetup	3120	1638400	4690	2621440
105	90	0.967533		v2																																						
2026-04-16T23:50:35+00:00	after_start_100_of_200	seq200_noview	default	devmapper	262726528	239178036	165939108	68671836	6616408	2984548	730844	14508540	4183484	133616	157816	82520	566372	10331548	136246	363789	9225612										118112911360	1260022321	dm:containerd-pool	0.2004	0.1801	215220224	19333120	dmsetup	3284	1638400	4720	2621440
115	100	1.079413		v2																																						
2026-04-16T23:50:50+00:00	after_start_110_of_200	seq200_noview	default	devmapper	262726528	236935796	163626540	68760288	6640816	3037828	802724	16458620	4184112	141744	190360	84004	621100	11372508	142189	398338	10149122										118112911360	1386059836	dm:containerd-pool	0.2103	0.1812	225771520	19456000	dmsetup	3445	1638400	4750	2621440
125	110	1.107303		v2																																						
2026-04-16T23:51:04+00:00	after_start_120_of_200	seq200_noview	default	devmapper	262726528	235157464	161775940	68850068	6667508	3091116	874520	18237836	4184696	149536	217892	83972	682084	12404560	140826	434106	11072624										118112911360	1512103851	dm:containerd-pool	0.2200	0.1824	236257280	19587072	dmsetup	3605	1638400	4782	2621440
135	120	1.141232		v2																																						
2026-04-16T23:51:19+00:00	after_start_130_of_200	seq200_noview	default	devmapper	262726528	233906892	160460284	68933616	6692452	3144396	946400	19339092	4185296	157920	225152	82380	739872	13446728	143990	469502	11996158										118112911360	1638154366	dm:containerd-pool	0.2298	0.1836	246743040	19709952	dmsetup	3765	1638400	4812	2621440
145	130	1.074733		v2																																						
2026-04-16T23:51:34+00:00	after_start_140_of_200	seq200_noview	default	devmapper	262726528	233163908	159644988	69023256	6716468	3197804	1018364	20010116	4186096	166464	219932	83916	799228	14484064	146167	505128	12917032										118112911360	1764211381	dm:containerd-pool	0.2404	0.1847	258080768	19832832	dmsetup	3938	1638400	4842	2621440
155	140	1.141877		v2																																						
2026-04-16T23:51:50+00:00	after_start_150_of_200	seq200_noview	default	devmapper	262726528	231966408	158373812	69114184	6742504	3251136	1090160	21130184	4187424	174496	227240	88508	852408	15526728	155530	540346	13840768										118112911360	1890274896	dm:containerd-pool	0.2496	0.1859	268042240	19955712	dmsetup	4090	1638400	4872	2621440
165	150	1.186996		v2																																						
2026-04-16T23:52:05+00:00	after_start_160_of_200	seq200_noview	default	devmapper	262726528	230774316	157111592	69200068	6769992	3304544	1162124	22222080	4190012	182992	234996	93108	911872	16554524	156734	575280	14763644										118112911360	2016344911	dm:containerd-pool	0.2597	0.1870	278855680	20078592	dmsetup	4255	1638400	4902	2621440
175	160	1.175594		v2																																						
2026-04-16T23:52:22+00:00	after_start_170_of_200	seq200_noview	default	devmapper	262726528	229548404	155810832	69290496	6799712	3358020	1233920	23321632	4193192	191424	241812	97716	965064	17593540	163699	609701	15687254										118112911360	2142421426	dm:containerd-pool	0.2696	0.1881	289472512	20201472	dmsetup	4417	1638400	4932	2621440
185	170	1.143338		v2																																						
2026-04-16T23:52:38+00:00	after_start_180_of_200	seq200_noview	default	devmapper	262726528	229627588	155819240	69375988	6830452	3411352	1305884	23154280	4196956	199696	210936	96788	1024400	18620288	162415	646077	16605912										118112911360	2268504441	dm:containerd-pool	0.2794	0.1893	299958272	20324352	dmsetup	4577	1638400	4962	2621440
195	180	1.124582		v2																																						
2026-04-16T23:52:55+00:00	after_start_190_of_200	seq200_noview	default	devmapper	262726528	228482844	154598084	69467448	6860120	3464636	1377684	24257084	4200480	208384	218196	99792	1093068	19667616	165419	682748	17529652										118112911360	2394593956	dm:containerd-pool	0.2889	0.1904	310247424	20447232	dmsetup	4734	1638400	4992	2621440
205	190	1.159485		v2																																						
2026-04-16T23:53:12+00:00	after_start_200_of_200	seq200_noview	default	devmapper	262726528	227304184	153348328	69553236	6891192	3517920	1449648	25346900	4204616	216928	225604	98156	1150824	20706676	163691	716752	18454096										118112911360	2520689971	dm:containerd-pool	0.2987	0.1916	320733184	20570112	dmsetup	4894	1638400	5022	2621440
215	200	1.206000		v2																																						
2026-04-16T23:53:23+00:00	after_start_200_of_200_settle_5s	seq200_noview	default	devmapper	262726528	227332184	153358888	69560348	6895836	3525708	1449648	25441664	4206748	218144	225452	99692	1150860	20700060	165687	715616	18454088										118112911360	2520689971	dm:containerd-pool	0.3021	0.1916	324337664	20570112	dmsetup	4949	1638400	5022	2621440
215	200		276.573617	v2																																						
2026-04-16T23:53:43+00:00	after_start_200_of_200_settle_20s	seq200_noview	default	devmapper	262726528	227550040	153579168	69557632	6898448	3525708	1449648	25455816	4207048	220096	225596	101228	1152396	20700076	167167	714552	18454024										118112911360	2520689971	dm:containerd-pool	0.3021	0.1916	324337664	20570112	dmsetup	4949	1638400	5022	2621440
215	200		276.573617	v2																																						
2026-04-16T23:54:28+00:00	after_start_200_of_200_settle_60s	seq200_noview	default	devmapper	262726528	226800524	152827680	69559520	6903752	3525708	1449648	26342820	4207160	224912	251900	104300	1152396	20700056	169127	714316	18454024										118112911360	2520689971	dm:containerd-pool	0.3021	0.1916	324337664	20570112	dmsetup	4949	1638400	5022	2621440
215	200		276.573617	v2																																						
2026-04-16T23:55:56+00:00	after_cleanup_sequential_200	seq200_noview	default	devmapper	262726528	249763660	177093784	67899340	6447052	2458940	12052	4716860	4193432	66752	117840	64052	3128	3132	93994	0	0										118112911360	0	dm:containerd-pool	0.1068	0.1686	114622464	18104320	dmsetup	1749	1638400	4420	2621440
15	0		276.573617	v2																																						
